index,comment,non-information
0,// TODO Auto-generated catch block,yes
1,     * (non-Javadoc),yes
2,     * (non-Javadoc),yes
3,     * (non-Javadoc),yes
4,     * (non-Javadoc),yes
5,     * (non-Javadoc),yes
6,    /* (non-Javadoc),yes
7,        /* (non-Javadoc),yes
8,        /* (non-Javadoc),yes
9,        /* (non-Javadoc),yes
10,        /* (non-Javadoc),yes
11,        /* (non-Javadoc),yes
12,        /* (non-Javadoc),yes
13,    /* (non-Javadoc),yes
14,    /* (non-Javadoc),yes
15,                // TODO Auto-generated method stub,yes
16,                // TODO Auto-generated method stub,yes
17,    /* (non-Javadoc),yes
18,    /* (non-Javadoc),yes
19,    /* (non-Javadoc),yes
20,    /* (non-Javadoc),yes
21,    /* (non-Javadoc),yes
22,    /* (non-Javadoc),yes
23,    /* (non-Javadoc),yes
24,     * (non-Javadoc),yes
25,    /* (non-Javadoc),yes
26,    /* (non-Javadoc),yes
27,    /* (non-Javadoc),yes
28,    /* (non-Javadoc),yes
29,    /* (non-Javadoc),yes
30,    /* (non-Javadoc),yes
31,    /* (non-Javadoc),yes
32,    /* (non-Javadoc),yes
33,    /* (non-Javadoc),yes
34,(non-Javadoc),yes
35,    /* (non-Javadoc),yes
36,     * (non-Javadoc),yes
37,     * (non-Javadoc),yes
38,     * (non-Javadoc),yes
39,(non-Javadoc),yes
40, (non-Javadoc),yes
41,(non-Javadoc),yes
42,(non-Javadoc),yes
43,(non-Javadoc),yes
44,(non-Javadoc),yes
45,(non-Javadoc),yes
46,(non-Javadoc),yes
47, (non-Javadoc),yes
48,(non-Javadoc),yes
49,        // TODO Auto-generated method stub,yes
50,(non-Javadoc),yes
51,(non-Javadoc),yes
52,(non-Javadoc),yes
53,(non-Javadoc),yes
54,(non-Javadoc),yes
55,(non-Javadoc),yes
56,(non-Javadoc),yes
57,(non-Javadoc),yes
58,(non-Javadoc),yes
59,(non-Javadoc),yes
60,(non-Javadoc),yes
61,(non-Javadoc),yes
62,(non-Javadoc),yes
63,(non-Javadoc),yes
64, (non-Javadoc),yes
65,(non-Javadoc),yes
66,(non-Javadoc),yes
67,(non-Javadoc),yes
68, (non-Javadoc),yes
69,(non-Javadoc),yes
