comment,non-information
@implNote taken from {@link com.sun.javafx.scene.control.behavior.TextAreaBehavior#contextMenuRequested(javafx.scene.input.ContextMenuEvent)},yes
icon.setToolTipText(printedViewModel.getLocalization());,yes
Synchronize changes of the underlying date value with the temporalAccessorValue,no
Ask if the user really wants to close the given database,yes
css: information *,no
"Check if there is a default type with the same name. If so, this is a modification of that type, so remove the default one:",no
each entry type,yes
"TODO: Username, domain and identity should be included as in .NET version. TODO: Should check, seems that it is not included in Log4j2.",no
"Already parsed via command line parameter, e.g., ""jabref.jar somefile.bib""",no
finally add things to the currently opened tab,yes
"To simplify the exporter API we simply do a normal export to a temporary file, and read the contents afterwards:",no
This class monitors a set of files for changes. Upon detecting a change it notifies the registered {@link FileUpdateListener}s. Implementation based on https://stackoverflow.com/questions/16251273/can-i-watch-for-single-file-change-with-watchservice-not-the-whole-directory,no
for AutoGroup,no
"Creates a new list in which each element is converted using the provided mapping. All changes to the underlying list are propagated to the converted list. In contrast to {@link org.fxmisc.easybind.EasyBind#map(ObservableList, Function)}, the items are converted when the are inserted (and at the initialization) instead of when they are accessed. Thus the initial CPU overhead and memory consumption is higher but the access to list items is quicker.",no
Sets the {@link Consumer} that is invoked after the task has failed with an exception. The consumer always runs on the JavaFX thread.,no
"/ TODO: Add undo final UndoableModifySubtree undo = new UndoableModifySubtree(getGroupTreeRoot(), node, ""Remove subgroups""); panel.getUndoManager().addEdit(undo);",no
db file exists,yes
"Another (unlikely?) possibility is that both disk and mem version has been modified in the same way. Check for this, too.",no
Should only occur when preferences are set directly via preferences.put and not via setFirstnameMode,no
"Dir must be a folder, not a file",yes
This method is called when the user presses OK in the Preferences dialog. This calls the appropriate method in the ViewModel.,no
TODO: doesn't work for citations in footnotes/tables,no
Save,yes
Constructor with optional column captions for the two entries,no
"If content selector values are present, then we want to show the auto complete suggestions immediately on focus",no
"This is called, when the user drops some PreviewLayouts on another cell in chosenListView to sort them",no
Helper methods for javafx binding. Some methods are taken from https://bugs.openjdk.java.net/browse/JDK-8134679,no
